code_edi;tableau_nom;libelle_ligne;label_col1;label_col2;label_col3
263;Table 1;Autres créances financières;Valeur 1;Valeur 2;Valeur 3
267;Table 1;Autres créances financières;Valeur 1;Valeur 2;Valeur 3
256;Table 1;Titres de participation;Valeur 1;Valeur 2;Valeur 3
260;Table 1;Titres de participation;Valeur 1;Valeur 2;Valeur 3
264;Table 1;Titres de participation;Valeur 1;Valeur 2;Valeur 3
268;Table 1;Titres de participation;Valeur 1;Valeur 2;Valeur 3
257;Table 1;Autres titres immobilisés;Valeur 1;Valeur 2;Valeur 3
261;Table 1;Autres titres immobilisés;Valeur 1;Valeur 2;Valeur 3
265;Table 1;Autres titres immobilisés;Valeur 1;Valeur 2;Valeur 3
269;Table 1;Autres titres immobilisés;Valeur 1;Valeur 2;Valeur 3
517;Table 1;Ecarts de conversion actif (E);Valeur 1;Valeur 2;Valeur 3
518;Table 1;Ecarts de conversion actif (E);Valeur 1;Valeur 2;Valeur 3
519;Table 1;Ecarts de conversion actif (E);Valeur 1;Valeur 2;Valeur 3
520;Table 1;Ecarts de conversion actif (E);Valeur 1;Valeur 2;Valeur 3
192;Table 1;Diminution des créances immobilisées;Valeur 1;Valeur 2;Valeur 3
194;Table 1;Diminution des créances immobilisées;Valeur 1;Valeur 2;Valeur 3
196;Table 1;Diminution des créances immobilisées;Valeur 1;Valeur 2;Valeur 3
198;Table 1;Diminution des créances immobilisées;Valeur 1;Valeur 2;Valeur 3
193;Table 1;Augmentations des dettes de financement;Valeur 1;Valeur 2;Valeur 3
195;Table 1;Augmentations des dettes de financement;Valeur 1;Valeur 2;Valeur 3
197;Table 1;Augmentations des dettes de financement;Valeur 1;Valeur 2;Valeur 3
199;Table 1;Augmentations des dettes de financement;Valeur 1;Valeur 2;Valeur 3
291;Table 1;TOTAL I (A+B+C+D+E);Valeur 1;Valeur 2;Valeur 3
292;Table 1;TOTAL I (A+B+C+D+E);Valeur 1;Valeur 2;Valeur 3
293;Table 1;TOTAL I (A+B+C+D+E);Valeur 1;Valeur 2;Valeur 3
294;Table 1;TOTAL I (A+B+C+D+E);Valeur 1;Valeur 2;Valeur 3
522;Table 1;Stocks (F);Valeur 1;Valeur 2;Valeur 3
523;Table 1;Stocks (F);Valeur 1;Valeur 2;Valeur 3
524;Table 1;Stocks (F);Valeur 1;Valeur 2;Valeur 3
525;Table 1;Stocks (F);Valeur 1;Valeur 2;Valeur 3
160;Table 1;Marchandises;Valeur 1;Valeur 2;Valeur 3
165;Table 1;Marchandises;Valeur 1;Valeur 2;Valeur 3
170;Table 1;Marchandises;Valeur 1;Valeur 2;Valeur 3
175;Table 1;Marchandises;Valeur 1;Valeur 2;Valeur 3
161;Table 1;Matières et fournitures consommables;Valeur 1;Valeur 2;Valeur 3
166;Table 1;Matières et fournitures consommables;Valeur 1;Valeur 2;Valeur 3
171;Table 1;Matières et fournitures consommables;Valeur 1;Valeur 2;Valeur 3
176;Table 1;Matières et fournitures consommables;Valeur 1;Valeur 2;Valeur 3
162;Table 1;Produits en cours;Valeur 1;Valeur 2;Valeur 3
167;Table 1;Produits en cours;Valeur 1;Valeur 2;Valeur 3
172;Table 1;Produits en cours;Valeur 1;Valeur 2;Valeur 3
177;Table 1;Produits en cours;Valeur 1;Valeur 2;Valeur 3
163;Table 1;Produits intermédiaires et produits résiduels;Valeur 1;Valeur 2;Valeur 3
168;Table 1;Produits intermédiaires et produits résiduels;Valeur 1;Valeur 2;Valeur 3
173;Table 1;Produits intermédiaires et produits résiduels;Valeur 1;Valeur 2;Valeur 3
178;Table 1;Produits intermédiaires et produits résiduels;Valeur 1;Valeur 2;Valeur 3
164;Table 1;Produits finis;Valeur 1;Valeur 2;Valeur 3
169;Table 1;Produits finis;Valeur 1;Valeur 2;Valeur 3
174;Table 1;Produits finis;Valeur 1;Valeur 2;Valeur 3
179;Table 1;Produits finis;Valeur 1;Valeur 2;Valeur 3
527;Table 1;Créances de l'actif circulant (G);Valeur 1;Valeur 2;Valeur 3
528;Table 1;Créances de l'actif circulant (G);Valeur 1;Valeur 2;Valeur 3
